ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,0.643919,-0.004715,-0.004515,0,0,0.004715,0.004591,0,1,-0.004715,-0.004653,0,0,0.004715,0.004545,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3421e-09,8.3421e-09,5,2.12231e-05,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.0754521,3.83686e-09,3.83685e-09,5,5,5,4.28351,3.83685e-09,3.83686e-09,4.611e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,0.511357,-0.005108,-0.004908,0,0,0.00428612,0.00416212,0,1,-0.00428612,-0.00422412,0,2,0.005108,0.004938,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.76478e-08,3.76491e-08,3.75441e-08,1.66832e-08,3.76475e-08,5,5,8.34162e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.97251,3.83684e-09,3.83686e-09,3.83936e-09,5,5,0.0193549,3.83686e-09,3.83684e-09,5,5,0,0,3,0,1,1,0,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,0.391839,-0.00546212,-0.00526212,0,0,0.00382462,0.00370062,0,1,-0.00382462,-0.00376262,0,2,0.00546212,0.00529212,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75609e-08,3.75604e-08,3.75428e-08,1.66832e-08,3.75618e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99531,3.83683e-09,3.83687e-09,3.83686e-09,5,5,0.00163409,3.83687e-09,3.83683e-09,5,5,0,0,3,0,1,1,0,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,0.307308,-0.00577467,-0.00557467,0,0,0.00333401,0.00321001,0,1,-0.00333401,-0.00327201,0,2,0.00577467,0.00560467,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75491e-08,3.75493e-08,3.75428e-08,1.66832e-08,3.75487e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99874,3.83682e-09,3.83687e-09,3.83687e-09,5,5,9.94372e-05,3.83687e-09,3.83682e-09,5,5,0,0,3,0,1,1,0,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,0.293477,-0.00604328,-0.00584328,0,0,0.00281803,0.00269402,0,1,-0.00281803,-0.00275602,0,2,0.00604328,0.00587328,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75442e-08,3.75456e-08,3.7544e-08,1.66832e-08,3.75444e-08,5,5,8.3416e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99968,3.8368e-09,3.83688e-09,3.83687e-09,5,5,9.93442e-06,3.83688e-09,3.8368e-09,5,5,0,0,3,0,1,1,0,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,0.35901,-0.00626589,-0.00606589,0,0,0.0022806,0.0021566,0,1,-0.0022806,-0.0022186,0,2,0.00626589,0.00609589,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.7544e-08,3.75437e-08,3.75427e-08,1.66832e-08,3.75442e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99995,3.83678e-09,3.83688e-09,3.83687e-09,5,5,8.32167e-07,3.83688e-09,3.83678e-09,5,5,0,0,3,0,1,1,0,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,0.470423,-0.00644081,-0.00624081,0,0,0.00172581,0.00160181,0,1,-0.00172581,-0.00166381,0,2,0.00644081,0.00627081,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75429e-08,3.75438e-08,3.75434e-08,1.66832e-08,3.75442e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99999,3.83677e-09,3.83688e-09,3.83688e-09,5,5,3.41977e-08,3.83688e-09,3.83677e-09,5,5,0,0,3,0,1,1,0,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,0.600226,-0.00656671,-0.00636672,0,0,0.00115789,0.00103389,0,1,-0.00115789,-0.00109589,0,2,0.00656671,0.00639672,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75431e-08,3.75448e-08,3.75436e-08,1.66832e-08,3.75446e-08,5,5,8.3416e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83674e-09,3.83688e-09,3.83688e-09,5,5,4.24427e-09,3.83688e-09,3.83674e-09,5,5,0,0,3,0,1,1,0,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,0.735651,-0.00664264,-0.00644264,0,0,0.000581156,0.000457156,0,1,-0.000581156,-0.000519156,0,2,0.00664264,0.00647264,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.7544e-08,3.75429e-08,3.75447e-08,1.66832e-08,3.75432e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.8367e-09,3.83688e-09,3.83688e-09,5,5,3.83677e-09,3.83688e-09,3.8367e-09,5,5,0,0,3,0,1,1,0,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,0.870672,-0.00666802,-0.00646802,0,0,0,-0.000124,0,1,-1.07207e-18,6.2e-05,0,2,0.00666802,0.00649802,2,1,5,5,5,1.66832e-08,5,1.66832e-08,5,5,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,8.3416e-09,8.34161e-09,3.75431e-08,1.66832e-08,3.75445e-08,5,3.75392e-08,8.3416e-09,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,3.83688e-09,3.83688e-09,5,5,3.8367e-09,3.83688e-09,5,5,5,0,0,3,0,1,1,0,1,2,1
